object_number,taxonomy.scientific_name,taxonomy.common_name,preparation,form,field_coll.name,field_coll.place,field_coll.date.start,field_coll.date.end
NH:1881.91.1,"Loxia leucoptera bifasciata (Brehm, 1827)",Eurasian white-winged crossbill,skin,,,,,
NH:1882.432.1,"Loxia leucoptera bifasciata (Brehm, 1827)",Eurasian white-winged crossbill,skin,,,Archangel,1881-06-01,
NH:1882.433.1,"Loxia leucoptera bifasciata (Brehm, 1827)",Eurasian white-winged crossbill,skin,,,Archangel,1881-10-18,
NH:1891.77.108,"Loxia leucoptera Gmelin, 1789",white-winged crossbill,skin,,,,1887-01-04,
NH:1891.77.109,"Loxia leucoptera Gmelin, 1789",white-winged crossbill,skin,,,,1889-01-25,
NH:2008.73.381,"Loxia leucoptera Gmelin, 1789",white-winged crossbill,taxidermy,mounted,,,,
NH:1881.88.1,"Loxia pytyopsittacus Borkhausen, 1793",parrot crossbill,skin,,,Jonkoping,1880-06,
NH:1881.89.1,"Loxia pytyopsittacus Borkhausen, 1793",parrot crossbill,skin,,,Jonkoping,1880-06-15,
NH:1892.6.1,"Loxia pytyopsittacus Borkhausen, 1793",parrot crossbill,taxidermy,dioramamounted,,Maganey,,
NH:2006.12.1508,Loxipasser anoxanthus (Gosse),Yellow-shouldered Grassquit,skin,,,Jamaica (Island),1866-04,
NH:2006.12.1509,Loxipasser anoxanthus (Gosse),Yellow-shouldered Grassquit,skin,,,Jamaica (Island),1866,
NH:2008.73.533,Loxipasser anoxanthus (Gosse),Yellow-shouldered Grassquit,skin,,,Jamaica (Island),,
NH:1913.34.262,"Lullula arborea (Linnaeus, 1758)",Woodlark,skin,bagged,,Wherstead,,
NH:1916.122.461,"Lullula arborea (Linnaeus, 1758)",Woodlark,skin,,,Tearaght,1887-10-24,
NH:2006.12.1130,"Lullula arborea (Linnaeus, 1758)",Woodlark,skin,bagged,,Riviera di Ponente (Italy),,
NH:2006.12.1131,"Lullula arborea (Linnaeus, 1758)",Woodlark,skin,,,Riviera di Ponente (Italy),,
NH:1889.30.1,"Lullula arborea (Linnaeus, 1758)",Woodlark,taxidermy,mounted,,Rathcormack,,
NH:1889.30.2,"Lullula arborea (Linnaeus, 1758)",Woodlark,taxidermy,mounted,,Rathcormack; Co. Cork,,
NH:1916.124.229,"Lullula arborea (Linnaeus, 1758)",Woodlark,taxidermy,mounted,"Blake Knox, E.",Glen of the Downs,1898-09-03,
NH:2003.52.233,Lunda cirrhata,Tufted Puffin,taxidermy,mounted,,Kamchatka Peninsula,,
NH:2003.51.148,Lunda cirrhata (Pall.),Tufted Puffin,skin,,,San Juan Island,1860-07,
NH:2003.51.149,Lunda cirrhata (Pall.),Tufted Puffin,skin,,,Vancouver Island,,
NH:1925.22.1,Lurocalis semitorquatus (Gm.),Semi-collared Nightjar,skin,,"Armstrong, J. (Lieutenant Colonel) (I.M.S.)",Brazil,1872,
NH:2003.51.22,Lurocalis semitorquatus (Gm.),Semi-collared Nightjar,skin,,,Brazil,,
NH:1887.2902.1468,"Luscinia brunnea (Hodgson, 1837)",Indian blue robin,skin,,,Simla,,
NH:1887.2902.1469,"Luscinia brunnea (Hodgson, 1837)",Indian blue robin,skin,,"Mandelli, L.",Sikkim,,
NH:1887.2902.1470,"Luscinia brunnea (Hodgson, 1837)",Indian blue robin,skin,,"Mandelli, L.",Sikkim,,
NH:1887.2902.1471,"Luscinia brunnea (Hodgson, 1837)",Indian blue robin,skin,,"Mandelli, L.",Sikkim,,
NH:2008.73.208,Luscinia calliope (Pallas),Siberian rubythroat,taxidermy,mounted,,,,
NH:1887.2902.937,"Luscinia chrysaea (Hodgson, 1845)",golden bush-robin,skin,,"Mandelli, L.",Sikkim,1873-02,
NH:1887.2902.938,"Luscinia chrysaea (Hodgson, 1845)",golden bush-robin,skin,,"Mandelli, L.",Sikkim,,
NH:1887.2902.939,"Luscinia chrysaea (Hodgson, 1845)",golden bush-robin,skin,,"Mandelli, L.",Sikkim,,
NH:1887.2902.940,"Luscinia chrysaea (Hodgson, 1845)",golden bush-robin,skin,,"Mandelli, L.",Sikkim,1873-10,
NH:2004.82.560,"Luscinia chrysaea (Hodgson, 1845)",golden bush-robin,skin,,,India,,
NH:2004.82.561,"Luscinia chrysaea (Hodgson, 1845)",golden bush-robin,skin,,,India,,
NH:1881.42.1,Luscinia luscinia (Linnaeus),thrush nightingale,skin,,,Skalensjo,1877-05-13,
NH:1881.43.1,Luscinia luscinia (Linnaeus),thrush nightingale,skin,,,Trolleholm,1876-07-13,
NH:1895.171.21,Luscinia luscinia (Linnaeus),thrush nightingale,skin,,,Sweden,1893-07-21,
NH:2004.82.1452,Luscinia luscinia (Linnaeus),thrush nightingale,skin,,,United Kingdom (nation),,
NH:2004.79.116,"Luscinia megarhynchos Brehm, 1831",nightingale,skeleton,boxed,,,,
NH:1891.77.72,"Luscinia megarhynchos Brehm, 1831",nightingale,skin,,,Nice,1890,
NH:1895.170.1,"Luscinia megarhynchos Brehm, 1831",nightingale,skin,,,Hungary (nation),1895-04,
NH:1900.7.90,"Luscinia megarhynchos Brehm, 1831",nightingale,skin,,,Schaff El Anab,1895-04-03,
NH:1900.88.1,"Luscinia megarhynchos Brehm, 1831",nightingale,skin,,,Ely (Cambridgeshire),,
NH:1900.88.2,"Luscinia megarhynchos Brehm, 1831",nightingale,skin,,,Ely (Cambridgeshire),,
NH:1913.34.188,"Luscinia megarhynchos Brehm, 1831",nightingale,skin,,,Copperas Wood,1896-05-09,
NH:1913.34.189,"Luscinia megarhynchos Brehm, 1831",nightingale,skin,,,Ray Cliff; Parkeston; Essex,1896-05-06,
NH:1913.34.190,"Luscinia megarhynchos Brehm, 1831",nightingale,skin,,,Stour Wood,1898-04-30,
NH:1908.160.1,"Luscinia megarhynchos Brehm, 1831",nightingale,taxidermy,mounted,,Surrey (county),,
NH:1908.160.2,"Luscinia megarhynchos Brehm, 1831",nightingale,taxidermy,mounted,,Surrey (county),,
NH:2006.12.1308,"Luscinia megarhynchos Brehm, 1831",nightingale,taxidermy,mounted,,,,
NH:1925.69.458,"Luscinia pectoralis tschebaiewi (Przevalski, 1876)",,skin,,"Falkiner, J.M.",Rungagora,08/04/1903,
NH:1925.69.459,"Luscinia pectoralis tschebaiewi (Przevalski, 1876)",,skin,,"Falkiner, J.M.",Rungagora,12/04/1903,
NH:1925.69.463,"Luscinia pectoralis tschebaiewi (Przevalski, 1876)",,skin,,"Falkiner, J.M.",Rungagora,1903-03,
NH:1925.69.464,"Luscinia pectoralis tschebaiewi (Przevalski, 1876)",,skin,,"Falkiner, J.M.",Rungagora,11/04/1903,
NH:1925.69.652,"Luscinia pectoralis tschebaiewi (Przevalski, 1876)",,skin,,"Falkiner, J.M.",Rungagora,14/04/1903,
NH:1881.466.1,"Luscinia rufilata (Hodgson, 1845)",Himalayan bush-robin,skin,,,Amur,1880-04,
NH:1881.467.1,"Luscinia rufilata (Hodgson, 1845)",Himalayan bush-robin,skin,,,Amur,1880-04,
NH:1887.2902.1476,"Luscinia rufilata (Hodgson, 1845)",Himalayan bush-robin,skin,,"Mandelli, L.",Sikkim,,
NH:1887.2902.1477,"Luscinia rufilata (Hodgson, 1845)",Himalayan bush-robin,skin,,"Mandelli, L.",Sikkim,,
NH:1887.2902.1478,"Luscinia rufilata (Hodgson, 1845)",Himalayan bush-robin,skin,,,Simla,,
NH:1887.2902.1479,"Luscinia rufilata (Hodgson, 1845)",Himalayan bush-robin,skin,,,Simla,,
NH:2004.82.1442,"Luscinia rufilata (Hodgson, 1845)",Himalayan bush-robin,skin,,,,,
NH:2004.82.1443,"Luscinia rufilata (Hodgson, 1845)",Himalayan bush-robin,skin,,,India,,
NH:2004.82.1444,"Luscinia rufilata (Hodgson, 1845)",Himalayan bush-robin,skin,,,Kolkata,,
NH:1881.22.1,"Luscinia svecica (Linnaeus, 1758)",bluethroat,skin,,,Muonioneska,1879-05-31,
NH:1881.23.1,"Luscinia svecica (Linnaeus, 1758)",bluethroat,skin,,,Karesuando,1880-06-10,
NH:1881.28.1,"Luscinia svecica (Linnaeus, 1758)",bluethroat,skin,,,France (south of),1879-09,
NH:1887.2902.1433,"Luscinia svecica (Linnaeus, 1758)",bluethroat,skin,,"Ball, Valentine (CB, FRS)",Elbe River; Sambalpur,1876-02-19,
NH:1887.2902.1435,"Luscinia svecica (Linnaeus, 1758)",bluethroat,skin,,"Ball, Valentine (CB, FRS)",Karial,1877-01-24,
NH:1887.2902.1436,"Luscinia svecica (Linnaeus, 1758)",bluethroat,skin,,"Ball, Valentine (CB, FRS)",Kalahaudi,1877-02-22,
NH:1887.2902.1437,"Luscinia svecica (Linnaeus, 1758)",bluethroat,skin,,,Palamow,1878-02-11,
NH:1887.2902.1438,"Luscinia svecica (Linnaeus, 1758)",bluethroat,skin,,,Palamow,1878-03-04,
NH:1887.2902.1439,"Luscinia svecica (Linnaeus, 1758)",bluethroat,skin,,,Simla,,
NH:1890.17.14,"Luscinia svecica (Linnaeus, 1758)",bluethroat,skin,,,Old Sarepta,,
NH:2004.82.1426,"Luscinia svecica (Linnaeus, 1758)",bluethroat,skin,,,Nepal,,
NH:1881.24.1,Luscinia svecica cyanecula (Meisner),white-spotted bluethroat,skin,,,Nice,1878-05,
NH:1881.25.1,Luscinia svecica cyanecula (Meisner),white-spotted bluethroat,skin,,,Altenburg,,
NH:1881.26.1,Luscinia svecica cyanecula (Meisner),white-spotted bluethroat,skin,,,Switzerland,,
NH:1881.27.1,Luscinia svecica cyanecula (Meisner),white-spotted bluethroat,skin,bagged,,France (south of),1879-09,
NH:2004.82.1422,Luscinia svecica cyanecula (Meisner),white-spotted bluethroat,skin,,,Italy,,
NH:2004.82.1423,Luscinia svecica cyanecula (Meisner),white-spotted bluethroat,skin,,,Europe (continent),,
NH:2004.82.1424,Luscinia svecica cyanecula (Meisner),white-spotted bluethroat,skin,,,Riviera di Ponente (Italy),,
NH:2004.82.1425,Luscinia svecica cyanecula (Meisner),white-spotted bluethroat,skin,bagged,,Riviera di Ponente (Italy),,
NH:2008.73.203,Luscinia svecica cyanecula (Meisner),white-spotted bluethroat,taxidermy,mounted,,Europe (continent),,
NH:1884.303.10,"Lybius bidentantus (Shaw, 1799)",Double-toothed Barbet,skin,,,Sierra Leone,,
NH:1913.187.39,"Lybius bidentantus (Shaw, 1799)",Double-toothed Barbet,skin,,,Cockle Bay; Freetown,17/11/1912,
NH:2003.51.1164,"Lybius bidentantus (Shaw, 1799)",Double-toothed Barbet,skin,,,West Africa,,
NH:2003.51.1165,"Lybius dubius (Gmelin, 1788)",Bearded Barbet,skin,,,MacCarthy Island (?),,
NH:2003.51.1166,"Lybius dubius (Gmelin, 1788)",Bearded Barbet,skin,,,,1860-02,
NH:2003.51.1167,"Lybius dubius (Gmelin, 1788)",Bearded Barbet,skin,,,,,
NH:2003.51.1168,"Lybius dubius (Gmelin, 1788)",Bearded Barbet,skin,,,Senegal,,
NH:2003.51.1169,"Lybius dubius (Gmelin, 1788)",Bearded Barbet,skin,,,,,
NH:2003.51.1163,"Lybius guifsobalito Hermann, 1783",Black-billed Barbet,skin,,,Abyssinia,,
NH:1904.287.1,Lybius minor macclounii,,skin,,,Tanganyika,,
NH:2003.51.1161,"Lybius torquatus (Dumont, 1816)",Black-collared Barbet,skin,,,Eland's Post,,
NH:2003.51.1162,"Lybius torquatus (Dumont, 1816)",Black-collared Barbet,skin,,,Eland's Post,,
NH:1914.13.35,Lybius torquatus irroratus,,skin,,,Mombasa,,
NH:2003.51.1160,"Lybius vieilloti (Leach, 1815)",Vieillot's Barbet,skin,,,MacCarthy Island (?),,
NH:1913.187.38,Lybius vieilloti rubescens,,skin,,,King Tom,07/07/1911,
NH:2008.73.256,Lycocorax pyrrhopterus (Bp.),Paradise Crow,taxidermy,mounted,,New Guinea,,
NH:1899.101.103,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skeleton,boxed,,,,
NH:2004.79.308,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skeleton,boxed,,,,
NH:1911.100.1,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,,,Co. Kildare,,
NH:1916.127.33,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,,Hook Tower,1890-04-24,
NH:1916.128.1278,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,"Higginbotham, J.",Hook Tower,1893-11-02,
NH:1916.128.1281,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,"Kennedy, E.A.",Tuskar,1898-11-10,
NH:1916.128.1282,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,"Kennedy, E.A.",Tuskar Rock,19/11/1900,
NH:1916.128.1283,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,,Tuskar,20/10/1911,
NH:1916.128.1284,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,"Wall, A.B.",South Arklow Lightship,11/04/1904,
NH:1916.128.1285,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,,North Arklow Lightship,1887,
NH:1916.128.1286,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,Beahan (Captain),North Arklow Lightship,1897-03-28,
NH:1916.128.1287,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,"McCarron, E.",Howth Baily,1892-12-10,
NH:1916.128.1288,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,"Kelly, H.",Rockabill,1886-09-23,
NH:1916.128.1289,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,,Rockabill,1899-12-09,
NH:1916.128.1290,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxedbagged,,South Rock,1891-04-12,
NH:1916.128.1291,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,,Maidens Lighthouse (East Tower),14/01/1902,
NH:1916.128.1292,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,,Inishtrahull Lighthouse,10/10/1907,
NH:1916.128.1293,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,,Aranmore,1888-11-12,
NH:1916.128.1294,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,"Glanville, John Alan",Eeragh Lighthouse,12/11/1904,
NH:1916.128.1295,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxedbagged,Williams and Son,Ireland,25/10/1902,
NH:1916.128.2862,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,,,,
NH:1932.4.10,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,,Black Rock Mayo Lighthouse,18/10/1931,
NH:1932.8.27,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,,Eeragh Lighthouse,19/11/1930,
NH:1932.8.28,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,,Eeragh Lighthouse,20/11/1930,
NH:1932.8.29,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,,Eeragh Lighthouse,19/11/1930,
NH:1989.27.14,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,,Bleadon,20/02/1924,
NH:2008.73.561,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,,Eeragh Lighthouse,02/10/1930,
NH:2008.73.562,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,skin,boxed,,Eeragh Lighthouse,03/10/1930,
NH:2003.52.934,"Lymnocryptes minimus (Brunnich, 1764)",Jack snipe,taxidermy,mounted,,Co. Monaghan,,
NH:1907.149.1,"Lyrurus mlokosiewiczi (Taczanowski, 1875)",Caucasian black grouse,skin,,,Caucasus,1899-01-01,1899-12-31
NH:1907.149.2,"Lyrurus mlokosiewiczi (Taczanowski, 1875)",Caucasian black grouse,skin,,,Caucasus,1899-01-01,1899-12-31
NH:1886.442.1,"Lyrurus mlokosiewiczi (Taczanowski, 1875)",Caucasian black grouse,taxidermy,mounted,,Caucasus,,
NH:1906.192.2,"Lyrurus tetrix (Linnaeus, 1758)",Eurasian black grouse,skeleton,boxed,,,,
NH:1929.61.1,"Lyrurus tetrix (Linnaeus, 1758)",Eurasian black grouse,skeleton,boxed,,Norway,,
NH:2004.79.222,"Lyrurus tetrix (Linnaeus, 1758)",Eurasian black grouse,skeleton,boxed,,,,
NH:1893.47.1,"Lyrurus tetrix (Linnaeus, 1758)",Eurasian black grouse,skin,,,Norway,,
NH:1893.47.2,"Lyrurus tetrix (Linnaeus, 1758)",Eurasian black grouse,skin,,,Norway,,
NH:1916.122.1,"Lyrurus tetrix (Linnaeus, 1758)",Eurasian black grouse,skin,,,,08/12/1911,
NH:1916.122.603,"Lyrurus tetrix (Linnaeus, 1758)",Eurasian black grouse,skin,,,,08/12/1911,
NH:1883.20.1,"Lyrurus tetrix (Linnaeus, 1758)",Eurasian black grouse,taxidermy,mounted,,Norway,,
NH:1883.21.1,"Lyrurus tetrix (Linnaeus, 1758)",Eurasian black grouse,taxidermy,mounted,,Norway,,
NH:1929.60.1,"Lyrurus tetrix tetrix (Linnaeus, 1758)",black grouse,skeleton,boxed,,Norway,,
NH:1966.26.101,Machaerhamphus alcinus anderssoni,,skin,,,Thika,03/09/1939,24/10/1966
NH:1966.26.68,Machaerhamphus alcinus anderssoni,,skin,,,Thika,28/06/1939,24/10/1966
NH:1966.26.70,Machaerhamphus alcinus anderssoni,,skin,,,Thika,28/06/1939,24/10/1966
NH:1881.140.1,"Machaerirhynchus flaviventer albifrons Gray, 1862",,skin,,,New Guinea,,
NH:2004.82.392,Machaeropterus regulus,Striped Manakin,skin,,,South America,,
NH:2004.82.393,Machaeropterus regulus,Striped Manakin,skin,,,,1860-02,
NH:1911.198.7,Machaeropterus regulus Hahn.,Striped Manakin,skin,,,Brazil (south-east),,
NH:2004.82.394,Machaeropterus regulus striolatus,,skin,,,Brazil,,
NH:2008.73.80,Machaeropterus striolatus (Bonaparte),western striped manakin,taxidermy,mounted,,South America,,
NH:1887.2902.1734,Machlolophus haplonotus (Blyth),,skin,,"Ball, Valentine (CB, FRS)",Moulpatna,1877-02-28,
NH:1887.2902.1735,Machlolophus haplonotus (Blyth),,skin,,,Satpura Hills,1872-02-12,
NH:1887.2902.1736,Machlolophus haplonotus (Blyth),,skin,,,Raipur,1877-04-08,
NH:1887.2902.1737,Machlolophus haplonotus (Blyth),,skin,,,Satpura Hills,1874-02-12,
NH:1887.2902.1742,Machlolophus haplonotus (Blyth),,skin,,"Mandelli, L.",Jeypur,1877-03-27,
NH:2004.82.1809,Machlolophus haplonotus (Blyth),,skin,,,Angola,,
NH:1887.2902.1733,Machlolophus spilonotus (Blyth),,skin,,"Mandelli, L.",Sikkim,1875-08,
NH:1887.2902.1738,Machlolophus spilonotus (Blyth),,skin,,"Ball, Valentine (CB, FRS)",Sikkim,,
NH:1887.2902.1739,Machlolophus spilonotus (Blyth),,skin,,"Mandelli, L.",Sikkim,,
NH:1887.2902.1743,Machlolophus spilonotus (Blyth),,skin,,"Mandelli, L.",Sikkim,,
NH:2004.82.35,Mackenziaena leachii,Large-tailed Antshrike,skin,,,Brazil,,
NH:2004.82.36,Mackenziaena leachii,Large-tailed Antshrike,skin,,,South America,,
NH:2004.82.38,Mackenziaena severa,Tufted Antshrike,skin,,,Brazil,,
NH:2003.41.47,Macrocephalon maleo,Maleo,taxidermy,mounted,,Sulawesi (island),,
NH:1894.143.1,Macrodipteryx longipennis,Standard-winged Nightjar,skin,,,Ghana,,
NH:1912.212.1,Macrodipteryx longipennis,Standard-winged Nightjar,skin,,,West Africa,01/04/1911,
NH:2003.51.30,Macrodipteryx longipennis,Standard-winged Nightjar,skin,,,,,
NH:1894.82.19,Macronectes giganteus,Southern Giant Petrel,skin,,,Australia,,
NH:1894.82.20,Macronectes giganteus,Southern Giant Petrel,skin,,,Australia,,
NH:2003.52.17,Macronectes giganteus,Southern Giant Petrel,taxidermy,mounted,,Southern Ocean,,
NH:1892.60.17,Macronous bornensis montanus (Sharpe),,skin,,,Darval Bay; Borneo (North East),,
NH:1925.69.626,Macronous gularis rubicapilla (Tickell),,skin,,"Falkiner, J.M.",Margharita; Dibragarh; Assam (Upper District),24/11/1902,
NH:1925.69.155,"Macronous gularis rubicapilla (Tickell, 1833)",,skin,,"Falkiner, J.M.",Margherita,18/12/1902,
NH:1925.69.156,"Macronous gularis rubicapilla (Tickell, 1833)",,skin,,"Falkiner, J.M.",Margherita,24/11/1902,
NH:1925.69.157,"Macronous gularis rubicapilla (Tickell, 1833)",,skin,,"Falkiner, J.M.",Margherita,30/11/1902,
NH:1925.69.158,"Macronous gularis rubicapilla (Tickell, 1833)",,skin,,"Falkiner, J.M.",Margherita,22/11/1902,
NH:1925.69.159,"Macronous gularis rubicapilla (Tickell, 1833)",,skin,,"Falkiner, J.M.",Margherita,28/11/1902,
NH:1925.69.176,"Macronous gularis rubicapilla (Tickell, 1833)",,skin,,"Falkiner, J.M.",Margherita,27/11/1902,
NH:1887.2902.1254,Macronous gularis rubricapilla,,skin,,"Mandelli, L.",Sikkim,,
NH:1887.2902.1255,Macronous gularis rubricapilla,,skin,,"Mandelli, L.",Sikkim,,
NH:1888.230.23,Macronous gularis woodi,,skin,,,Puerto Princesa; Palawan,1887-11-01,
NH:2004.82.1193,"Macronous ptilosus Jardine & Selby, 1835",Fluffy-backed Tit-Babbler,skin,,,Sumatra (island),,
NH:2004.82.1194,"Macronous ptilosus Jardine & Selby, 1835",Fluffy-backed Tit-Babbler,skin,,,Sumatra (island),,
NH:1890.94.6,Macronous striaticeps Sharpe,Brown Tit-Babbler,skin,,,Davao,1889-06-28,
NH:1890.94.7,Macronous striaticeps Sharpe,Brown Tit-Babbler,skin,,,Davao,1889-06-30,
NH:2008.73.181,Macronus ptilosus J.&S.,Fluffy-backed tit Babbler,taxidermy,mounted,,Malacca (state),,
NH:1886.328.1,Macronyx capensis (Linnaeus),Cape Long Claw,skin,,,,,
NH:2006.12.1121,Macronyx capensis (Linnaeus),Cape Long Claw,skin,,,South Africa,,
NH:2006.12.1122,Macronyx capensis (Linnaeus),Cape Long Claw,skin,,,Cape Town,,
NH:2008.73.162,Macronyx capensis (Linnaeus),Cape Long Claw,taxidermy,mounted,,South Africa,,
NH:1884.303.25,Macronyx croceus (Vieill.),Yellow-throated Longclaw,skin,,,Sierra Leone,,
NH:1913.187.169,Macronyx croceus (Vieill.),Yellow-throated Longclaw,skin,,"Kelsall, H. (RA)",Freetown (near),16/11/1912,
NH:2006.12.1119,Macronyx croceus (Vieill.),Yellow-throated Longclaw,skin,,,Volta River,,
NH:1884.233.16,Macropteryx coronata,,skeleton,boxed,,Rangarah (?),1870-04-06,
NH:2003.30.423,Macropygia amboinensis doreya,,skin,,,Mysore (island),,
NH:2003.30.424,Macropygia amboinensis doreya,,skin,,,,,
NH:1887.2903.23,Macropygia amboinensis sanghirensis,,skin,,,Pulau Siau (island),1887-10-01,
NH:2003.30.408,Macropygia phasianella,Philippine Cuckoo-dove,skin,,,Australia,,
NH:1890.131.2,Macropygia phasianella tenuirostris,,skin,,Steere Expedition 1887-1888,Ayala,1888-12-12,
NH:1887.2902.196,Macropygia rufipennis,Andaman Cuckoo-dove,skin,,,Port Blair,1873-08-01,
NH:1887.2902.198,Macropygia unchall tusalia,,skin,,"Mandelli, L.",Sikkim,,
NH:2003.30.407,Macropygia unchall tusalia,,skin,,,Nepal,,
NH:1913.187.94,Macrosphenus flavicans zenkeri,,skin,,"Kelsall, H. (RA)",Senahu (near); Rotofunk (8 miles south of),13/10/1912,
NH:2003.30.54,Magaroperdix madagascariensis (Seop),Madagascar Partridge,skin,,,Foule Point,1861-10,
NH:2003.30.55,Magaroperdix madagascariensis (Seop),Madagascar Partridge,skin,,,Foule Point,1861-10,
NH:2003.30.56,Magaroperdix madagascariensis (Seop),Madagascar Partridge,skin,,,Foule Point,1861-10,
NH:2003.30.57,Magaroperdix madagascariensis (Seop),Madagascar Partridge,skin,,,Foule Point,1861,
NH:2003.30.58,Magaroperdix madagascariensis (Seop),Madagascar Partridge,skin,,,Autamanariens,1861-09,
NH:2003.30.59,Magaroperdix madagascariensis (Seop),Madagascar Partridge,skin,,,Autamanariens,1861-09,
NH:2008.73.190,Malacias capistrata Vig.,Black-headed Sibia,taxidermy,mounted,,Himalayas (mountain system),,
NH:1986.13.1,"Malaconothrus purvisi Luxton, 1987",,,,Data available,Carnsore Point,07/11/1979,07/11/1979
NH:2004.82.1721,"Malaconotus blanchoti Stephens, 1826",Bushshrike,skin,,,West Africa,,
NH:2004.82.1722,"Malaconotus blanchoti Stephens, 1826",Bushshrike,skin,,,,,
NH:2003.51.1123,"Malacoptila fusca (Gmelin, 1788)",White-chested Puffbird,skin,,,Chamicuros,1867-07-04,
NH:2003.51.1124,"Malacoptila fusca (Gmelin, 1788)",White-chested Puffbird,skin,,,Chamicuros,1867-07-04,
NH:2003.51.1132,Malacoptila striata,Crescent-chested Puffbird,skin,,,Brazil,1860-02,
NH:2003.51.1133,Malacoptila striata,Crescent-chested Puffbird,skin,,,Brazil,1860-02,
NH:2003.52.332,Malacoptila torquata,Crescent-chested Puffbird,taxidermy,mounted,,Brazil,,
NH:2003.51.924,"Malacorhynchus membranaceus (Latham, 1801)",pink-eared duck,skin,,,Queensland (state),,
NH:1901.161.1,"Malacorhynchus membranaceus (Latham, 1801)",pink-eared duck,taxidermy,mounted,,New South Wales,,
NH:2006.12.415,Malimbus erythrogaster (Reich.),Red-bellied Malimbe,skin,,,Gabon,,
NH:1913.187.135,Malimbus malimbicus (Daud.),Crested Malimbe,skin,,"Kelsall, H. (RA)",York Pass,28/12/1912,
NH:2006.12.413,Malimbus malimbicus (Daud.),Crested Malimbe,skin,,Higgins,,,
NH:2006.12.418,Malimbus nitens (Gray),Blue-billed Malimbe,skin,,"Ussher, Richard J. ",,,
NH:2006.12.416,Malimbus rubricollis (Swains.),Red-headed Malimbe,skin,,Higgins,,,
NH:1913.187.134,Malimbus scutatus (Cass.),Red-vented Malimbe,skin,,"Kelsall, H. (RA)",Yonnibanna (near),22/09/1912,
NH:2006.12.414,Malimbus scutatus (Cass.),Red-vented Malimbe,skin,,Crossby,Cameroon,1871-01-31,
NH:1894.82.100,Malurus cyaneus (Ellis),Superb Fairy-wren,skin,,,Victoria (Australia),,
NH:1894.82.91,Malurus cyaneus (Ellis),Superb Fairy-wren,skin,,,Victoria (Australia),,
NH:1894.82.92,Malurus cyaneus (Ellis),Superb Fairy-wren,skin,,,Victoria (Australia),,
NH:1894.82.93,Malurus cyaneus (Ellis),Superb Fairy-wren,skin,,,Victoria (Australia),,
NH:1894.82.94,Malurus cyaneus (Ellis),Superb Fairy-wren,skin,,,Victoria (Australia),,
NH:1894.82.95,Malurus cyaneus (Ellis),Superb Fairy-wren,skin,,,Victoria (Australia),,
NH:1894.82.96,Malurus cyaneus (Ellis),Superb Fairy-wren,skin,,,Victoria (Australia),,
NH:1894.82.97,Malurus cyaneus (Ellis),Superb Fairy-wren,skin,,,Victoria (Australia),,
NH:1894.82.98,Malurus cyaneus (Ellis),Superb Fairy-wren,skin,,,Victoria (Australia),,
NH:1894.82.99,Malurus cyaneus (Ellis),Superb Fairy-wren,skin,,,Victoria (Australia),,
NH:2004.82.1538,Malurus cyaneus (Ellis),Superb Fairy-wren,skin,,,Victoria (Australia),,
NH:2004.82.1539,Malurus cyaneus (Ellis),Superb Fairy-wren,skin,,White (Major),Victoria (Australia),,
NH:2004.82.1540,Malurus cyaneus (Ellis),Superb Fairy-wren,skin,bagged,White (Major),Australia,,
